Iteration,Walker,Theta_1,Theta_2,Theta_3,Theta_4,Inner Cost,Outer Cost,Gradient Cost
5,8,-7.888196263753913,-5.608571859179843,-7.431829189541568,-5.139553720416627,0.031989611831698475,0.022783566756630652,0.009206045075067823
5,9,-5.156363481291782,-4.929691625217844,-8.265807460359722,-6.431934366746363,0.031686021922245115,0.022792534536760185,0.00889348738548493
5,10,-10.250168854501167,-5.410367266049095,-9.071297453782837,-6.5154186911442675,0.030420945237893543,0.022784620978041625,0.007636324259851918
5,11,-7.081027045464906,-4.236399674504211,-5.799710162768347,-6.37626868568685,0.08424217215261949,0.02282090926323797,0.06142126288938152
5,12,-8.837021193267713,-10.219572793921687,-8.456791806076513,-7.262984025217958,0.030571906820142006,0.02278434664600468,0.007787560174137325
5,13,-4.967984474939777,-9.501462793122004,-5.734449684649043,-10.009498492470826,0.07588398402905877,0.022804324223233297,0.05307965980582548
5,14,-6.727768874452238,-6.084328758390392,-7.869940630416596,-5.2138328609199505,0.03077270701551639,0.022784300164740336,0.007988406850776054
5,15,-9.133581733150685,-11.540221815888653,-10.676572154562635,-10.302265334722426,0.030403065605321654,0.022785226094862943,0.007617839510458711
5,16,-8.264948505979248,-10.730809999312488,-9.901273188569814,-11.542230481167543,0.030419596554024198,0.022785277333593465,0.007634319220430733
6,0,-9.489983723908056,-9.876659861605038,-6.094026461255653,-7.219160611542351,0.06118606989583459,0.02280124554940734,0.038384824346427246
6,1,-10.545824807354338,-8.662701049183578,-8.10411288328918,-7.1205384489418995,0.030826769118205963,0.02278395956368203,0.008042809554523932
6,2,-7.71117382072544,-10.206438662028331,-8.670155764788106,-5.1669131351823285,0.030443297098123833,0.02278466775689799,0.007658629341225843
6,3,-7.266698836762463,-8.624880813556663,-8.675870348926937,-5.214852473021264,0.030455552263547445,0.02278497976689061,0.007670572496656834
6,4,-6.781910767496194,-6.018969294967496,-8.193476345619152,-4.523438382319593,0.030437038142325856,0.022784403927676403,0.007652634214649453
6,5,-9.853200944260715,-4.423981645731052,-6.00889921892661,-5.203211771203444,0.06708985523930062,0.022812632070806773,0.04427722316849385
6,6,-10.653616129330668,-8.215500522864454,-8.058140290582264,-4.831655303700967,0.030761748092169656,0.022783621739792,0.007978126352377657
6,7,-8.5423534753909,-7.0005277152952985,-7.930565492437227,-7.165175571901619,0.08488798615667795,0.07543415324807215,0.009453832908605797
6,8,-4.629941435213287,-8.092021871871006,-8.901412748067344,-3.323111067492645,0.0367889283574571,0.022817032568492414,0.013971895788964683
6,9,-8.420696083230627,-7.592313894449823,-8.878041936107604,-5.608537901937832,0.03043016894582008,0.02278465704014848,0.007645511905671597
6,10,-8.53937673851089,-3.606275783460253,-10.775103186404097,-5.795075977528563,0.0303760424705366,0.02278517582787173,0.007590866642664871
6,11,-9.090945119996729,-3.3373814289357484,-8.01296600730383,-5.57708855396257,0.030844674102719523,0.02278377153160618,0.008060902571113342
6,12,-7.880589789963514,-3.8843161892392346,-9.990372011060524,-2.9510760899884927,0.02990495417773642,0.022783940612843674,0.007121013564892746
6,13,-8.35394300158321,-7.078875608869434,-8.332654251901712,-5.914972734428811,0.030595562112340095,0.022784238108748744,0.007811324003591351
6,14,-8.779182384642388,-7.433548771111338,-7.46937785267024,-8.400737162526486,0.032127193107681036,0.022783734933724042,0.009343458173956994
7,0,-10.242115330723905,-3.934317916914633,-9.933550880027262,-5.53610405018346,0.030377626967204346,0.022784937391317612,0.007592689575886734
7,1,-10.48025859195421,-8.478454020006513,-9.386492537243575,-7.499989144584043,0.03040404784498326,0.02278479716356901,0.007619250681414249
7,2,-9.818021564908177,-10.966716691411971,-6.713836089201304,-7.09115837913646,0.03903367170111208,0.022786447012764804,0.016247224688347273
7,3,-9.386383106160512,-4.987959201041556,-8.449324721750141,-4.767400871768289,0.030482913826540593,0.022783991808500346,0.007698922018040247
7,4,-8.731588126320252,-4.847083031828665,-10.37189793341864,-4.738111848139687,0.030377887383057744,0.022785135043460546,0.007592752339597199
7,5,-8.417690002053742,-6.842999934630278,-7.8452472732357466,-2.2953101053429052,1.3460466267619982,0.03227447169943849,1.3137721550625596
7,6,-9.00093761968532,-8.292699406944445,-8.193747387642892,-5.9756720081941515,0.03070199123805325,0.022784034576205765,0.007917956661847483
7,7,-8.994780572525025,-6.797831988913313,-8.057960108902474,-7.695568415023475,0.0308623209176292,0.02278400552668684,0.008078315390942361
7,8,-10.485885305787857,-8.28952367560486,-7.882784007339138,-5.551262164460577,0.031046739586557896,0.022783684203901186,0.00826305538265671
7,9,-8.808003778152166,-4.75634940838986,-8.9937978528066,-3.1992733690135218,0.029965882786007977,0.022783100398504015,0.007182782387503962
7,10,-6.702321488915048,-9.727994630111759,-8.241710347561026,-5.441335349081031,0.030594293533110183,0.02278514278733855,0.007809150745771633
7,11,-10.445368447783904,-7.502972613865309,-8.050551890058587,-6.838718580190559,0.030878063871757747,0.022783912531811897,0.00809415133994585
7,12,-6.320120977530301,-4.592129751955861,-8.48894944976393,-2.8644673860292866,0.03027780329650536,0.022782178675744957,0.007495624620760404
7,13,-6.416980202295717,-5.381334935696064,-7.157678106282355,-4.020078577714699,0.032624642650622336,0.022783572235012803,0.009841070415609533
7,14,-8.143817634845867,-5.005116096553944,-8.567278879160364,-5.7553421642125215,0.030481057462661856,0.02278442773184396,0.007696629730817896
7,15,-9.05474405618846,-7.269539028230611,-7.314517072560388,-8.3553224677549,0.032833984643287295,0.022783812515663776,0.010050172127623519
8,0,-6.909964477815944,-2.806122050879732,-8.100579759432875,-3.204546033065226,0.030753992571525255,0.022782648837419636,0.007971343734105619
8,1,-8.60967063604007,-9.812989980946465,-7.88950550803183,-5.829687569385038,0.031011996135262482,0.022783805338534385,0.008228190796728097
8,2,-7.387686043257908,-6.402515377390028,-8.276656247814497,-2.9730821881001415,0.03102498361578479,0.02278276184925541,0.008242221766529379
8,3,-9.180558491331556,-7.405144288814987,-8.294795869726213,-8.389397769981354,0.03066905024346815,0.022784193877788118,0.007884856365680034
8,4,-8.747447321713727,-6.172030301042635,-8.294913026496468,-4.173975920720538,0.030458054106823174,0.02278358532985701,0.007674468776966165
8,5,-8.279549114321593,-7.000109239167989,-7.733832447657328,-5.676482703878537,0.031249196017485985,0.02278370549174956,0.008465490525736426
8,6,-9.756984904316278,-7.624485794663528,-9.907131240077515,-3.155650272361413,0.030096187909792613,0.022784140462456835,0.007312047447335778
8,7,-10.893266441668603,-5.16359094574188,-8.124191125794667,-5.788262311616935,0.030770707199015302,0.022783886273288763,0.00798682092572654
8,8,-8.81116841099002,-4.885048012170901,-8.148957129787453,-4.21565877609198,0.03056324447669165,0.02278344492071777,0.007779799555973882
8,9,-11.049800415213163,-4.968974534344803,-7.2162938455006564,-3.069050598268663,0.048637835371818795,0.022811280250110564,0.02582655512170823
8,10,-10.535760966007109,-6.3653957973416855,-8.067175422229122,-4.775778775075401,0.03074566606856165,0.022783621526044257,0.007962044542517394
8,11,-9.770372603245617,-8.10502178772808,-7.630285143671436,-6.01383837351022,0.03158726229240294,0.022783636219924127,0.008803626072478813
8,12,-4.902606482113196,-8.382584738414183,-7.8590308341165835,-6.47085018120075,0.03430708386031777,0.022803238545164136,0.011503845315153634
8,13,-8.460063504156524,-1.51371448443561,-8.57050962915112,-4.272691396944084,0.3260826585668009,0.025579530596491994,0.3005031279703089
8,14,-7.132918976784279,-6.295185321908543,-6.766675384319216,-6.249913068125062,0.03726607007965177,0.022785394997797217,0.014480675081854553
8,15,-7.261657499835146,-6.123121674242215,-8.27077091020076,-5.043312789058829,0.030521827259693324,0.022784394107805136,0.007737433151888188
9,0,-8.639393394651956,-4.173444757416761,-8.988478427581919,-3.7393239570109693,0.030211471529254918,0.022783956466021164,0.007427515063233754
9,1,-7.097204516871172,-4.390265010634034,-8.042179211736672,-3.1894164701843746,0.030816022513783806,0.02278251887240316,0.008033503641380644
9,2,-7.441073196881951,-6.197240700284136,-7.3545332567711,-3.239751100638719,0.03650342777374573,0.022789725176518366,0.013713702597227366
